case,idx,bit,unique_bits,times,sumtime,memory,internal_diversity
clean_db_qm9_odd,9,512,512,0.04563426971435547,12.960487842559814,33833472,0.8612887944508199
clean_db_qm9_odd,10,1024,1024,0.07240557670593262,14.280105352401733,67666944,0.8680479202556303
clean_db_qm9_odd,11,2048,2048,0.11055827140808105,15.551899909973145,135333888,0.8719417399028352
clean_db_qm9_odd,12,4096,4059,0.19494056701660156,18.00232195854187,270667776,0.8730012348036124
clean_db_qm9_odd,13,8192,7469,0.38565778732299805,23.023257732391357,541335552,0.8738631087845558
clean_db_qm9_odd,14,16384,11575,0.6390507221221924,33.26012349128723,1082671104,0.8740623861887516
clean_db_qm9_odd,15,32768,15021,1.4140658378601074,53.07867693901062,2165342208,0.8742381800911085
clean_db_qm9_odd,16,65536,17294,2.870530128479004,93.47168183326721,4330684416,0.8742761690459219
clean_db_qm9_odd,17,131072,18605,7.068180561065674,192.9741427898407,8661368832,0.8743126958159451
clean_db_qm9_odd,18,262144,19332,14.203969240188599,370.84141540527344,17322737664,0.8745140116014666
clean_db_qm9_odd,19,524288,19692,29.53368902206421,726.9141354560852,34645475328,0.8745164855820786
clean_db_qm9_odd,20,1048576,19898,52.69736099243164,1330.4688475131989,69290950656,0.8745173417325935
clean_db_qm9_odd,21,2097152,20002,182.46423482894897,2642.5269927978516,138581901312,0.8745200504799887
